Frame Index,Timestamp,Label
0,0.0,Frame Merge
1,0.005,Normal
2,0.01,Normal
3,0.015,Normal
4,0.02,Normal
5,0.025,Normal
6,0.03,Normal
7,0.035,Normal
8,0.04,Normal
9,0.045,Normal
10,0.05,Normal
11,0.055,Normal
12,0.06,Normal
13,0.065,Normal
14,0.07,Normal
15,0.075,Normal
16,0.08,Normal
17,0.085,Normal
18,0.09,Normal
19,0.095,Frame Merge
20,0.1,Normal
21,0.105,Normal
22,0.11,Normal
23,0.115,Normal
24,0.12,Normal
25,0.125,Normal
26,0.13,Normal
27,0.135,Normal
28,0.14,Normal
29,0.145,Normal
